scenario_id,group,true_detection,true_pipe,true_position,pred_detection,pred_pipe,pred_position,det_prob_leak,det_correct,pipe_correct
scenario_00037,no-leak,0,-1,-1.0,0,,0.3895,0.0007,True,
scenario_00038,no-leak,0,-1,-1.0,0,,0.4863,0.0006,True,
scenario_00039,no-leak,0,-1,-1.0,0,,0.389,0.0001,True,
scenario_00040,no-leak,0,-1,-1.0,1,2.0,0.556,1.0,False,
scenario_00041,no-leak,0,-1,-1.0,0,,0.3645,0.0003,True,
scenario_00042,no-leak,0,-1,-1.0,0,,0.4442,0.0057,True,
scenario_00043,no-leak,0,-1,-1.0,0,,0.3934,0.0001,True,
scenario_00044,no-leak,0,-1,-1.0,0,,0.2902,0.0274,True,
scenario_00046,no-leak,0,-1,-1.0,0,,0.418,0.0028,True,
scenario_00045,no-leak,0,-1,-1.0,0,,0.5229,0.0007,True,
scenario_00047,no-leak,0,-1,-1.0,0,,0.4575,0.003,True,
scenario_00048,no-leak,0,-1,-1.0,1,3.0,0.668,1.0,False,
scenario_00049,no-leak,0,-1,-1.0,0,,0.392,0.0001,True,
scenario_00050,no-leak,0,-1,-1.0,1,2.0,0.5315,0.9969,False,
scenario_00051,pipe-1,1,1,0.2,1,1.0,0.5674,0.9987,True,True
scenario_00052,pipe-1,1,1,0.2,1,3.0,0.7562,1.0,True,False
scenario_00054,pipe-1,1,1,0.2,1,1.0,0.5333,1.0,True,True
scenario_00053,pipe-1,1,1,0.2,1,5.0,0.3768,1.0,True,False
scenario_00055,pipe-1,1,1,0.2,1,1.0,0.7214,0.9988,True,True
scenario_00056,pipe-1,1,1,0.2,1,1.0,0.5531,1.0,True,True
scenario_00057,pipe-1,1,1,0.2,1,1.0,0.7504,1.0,True,True
scenario_00059,pipe-1,1,1,0.2,1,1.0,0.7023,1.0,True,True
scenario_00058,pipe-1,1,1,0.2,1,1.0,0.6347,1.0,True,True
scenario_00060,pipe-1,1,1,0.2,1,1.0,0.5255,1.0,True,True
scenario_00061,pipe-1,1,1,0.2,1,1.0,0.751,0.9999,True,True
scenario_00062,pipe-1,1,1,0.2,1,2.0,0.6199,1.0,True,False
scenario_00063,pipe-1,1,1,0.2,1,1.0,0.7324,1.0,True,True
scenario_00064,pipe-1,1,1,0.2,1,1.0,0.5759,0.9999,True,True
scenario_00065,pipe-1,1,1,0.2,1,1.0,0.4833,1.0,True,True
scenario_00066,pipe-1,1,1,0.2,1,1.0,0.8264,1.0,True,True
scenario_00067,pipe-1,1,1,0.2,1,1.0,0.4269,1.0,True,True
scenario_00068,pipe-1,1,1,0.2,1,1.0,0.6704,1.0,True,True
scenario_00069,pipe-1,1,1,0.2,1,1.0,0.6392,1.0,True,True
scenario_00070,pipe-1,1,1,0.2,1,1.0,0.5169,1.0,True,True
scenario_00071,pipe-1,1,1,0.2,1,1.0,0.6277,1.0,True,True
scenario_00072,pipe-1,1,1,0.2,1,1.0,0.7357,1.0,True,True
scenario_00073,pipe-1,1,1,0.2,1,1.0,0.5776,1.0,True,True
scenario_00074,pipe-1,1,1,0.2,1,1.0,0.554,1.0,True,True
scenario_00075,pipe-1,1,1,0.2,1,1.0,0.6438,1.0,True,True
scenario_00076,pipe-1,1,1,0.2,1,1.0,0.687,1.0,True,True
scenario_00077,pipe-1,1,1,0.2,1,1.0,0.6294,1.0,True,True
scenario_00078,pipe-1,1,1,0.2,1,1.0,0.4251,1.0,True,True
scenario_00079,pipe-1,1,1,0.2,1,1.0,0.4517,1.0,True,True
scenario_00080,pipe-1,1,1,0.2,1,1.0,0.8732,1.0,True,True
scenario_00081,pipe-1,1,1,0.2,1,1.0,0.5227,1.0,True,True
scenario_00082,pipe-1,1,1,0.2,1,1.0,0.7611,1.0,True,True
scenario_00083,pipe-1,1,1,0.2,1,1.0,0.5689,1.0,True,True
scenario_00084,pipe-1,1,1,0.2,1,1.0,0.5344,1.0,True,True
scenario_00085,pipe-1,1,1,0.2,1,1.0,0.5824,1.0,True,True
scenario_00086,pipe-1,1,1,0.2,1,1.0,0.8091,1.0,True,True
scenario_00087,pipe-1,1,1,0.2,1,1.0,0.5897,1.0,True,True
scenario_00088,pipe-1,1,1,0.2,1,1.0,0.7016,1.0,True,True
scenario_00089,pipe-1,1,1,0.2,1,1.0,0.5909,1.0,True,True
scenario_00090,pipe-1,1,1,0.2,1,1.0,0.7351,1.0,True,True
scenario_00091,pipe-1,1,1,0.2,1,1.0,0.5731,1.0,True,True
scenario_00092,pipe-1,1,1,0.2,1,1.0,0.3944,1.0,True,True
scenario_00093,pipe-1,1,1,0.4,1,1.0,0.5546,0.9999,True,True
scenario_00094,pipe-1,1,1,0.4,1,3.0,0.7557,1.0,True,False
scenario_00095,pipe-1,1,1,0.4,1,5.0,0.3725,1.0,True,False
scenario_00097,pipe-1,1,1,0.4,0,,0.5491,0.4713,False,False
scenario_00096,pipe-1,1,1,0.4,1,1.0,0.5442,1.0,True,True
scenario_00098,pipe-1,1,1,0.4,1,1.0,0.5629,1.0,True,True
scenario_00099,pipe-1,1,1,0.4,1,1.0,0.7718,1.0,True,True
scenario_00100,pipe-1,1,1,0.4,1,1.0,0.6492,1.0,True,True
scenario_00101,pipe-1,1,1,0.4,1,1.0,0.7323,1.0,True,True
scenario_00103,pipe-1,1,1,0.4,1,1.0,0.7737,0.9999,True,True
scenario_00102,pipe-1,1,1,0.4,1,1.0,0.5287,1.0,True,True
scenario_00104,pipe-1,1,1,0.4,1,2.0,0.6228,1.0,True,False
scenario_00105,pipe-1,1,1,0.4,1,1.0,0.758,1.0,True,True
scenario_00106,pipe-1,1,1,0.4,1,1.0,0.5746,1.0,True,True
scenario_00107,pipe-1,1,1,0.4,1,1.0,0.5263,1.0,True,True
scenario_00108,pipe-1,1,1,0.4,1,1.0,0.8261,1.0,True,True
scenario_00109,pipe-1,1,1,0.4,1,1.0,0.4326,1.0,True,True
scenario_00110,pipe-1,1,1,0.4,1,1.0,0.7082,1.0,True,True
scenario_00111,pipe-1,1,1,0.4,1,1.0,0.7032,1.0,True,True
scenario_00112,pipe-1,1,1,0.4,1,1.0,0.5806,1.0,True,True
scenario_00113,pipe-1,1,1,0.4,1,1.0,0.6928,1.0,True,True
scenario_00114,pipe-1,1,1,0.4,1,1.0,0.771,1.0,True,True
scenario_00115,pipe-1,1,1,0.4,1,1.0,0.6989,1.0,True,True
scenario_00116,pipe-1,1,1,0.4,1,1.0,0.6055,1.0,True,True
scenario_00117,pipe-1,1,1,0.4,1,1.0,0.7031,1.0,True,True
scenario_00118,pipe-1,1,1,0.4,1,1.0,0.6939,1.0,True,True
scenario_00119,pipe-1,1,1,0.4,1,1.0,0.6919,1.0,True,True
scenario_00120,pipe-1,1,1,0.4,1,1.0,0.4788,1.0,True,True
scenario_00121,pipe-1,1,1,0.4,1,1.0,0.5524,1.0,True,True
scenario_00122,pipe-1,1,1,0.4,1,1.0,0.8737,1.0,True,True
scenario_00123,pipe-1,1,1,0.4,1,1.0,0.55,1.0,True,True
scenario_00124,pipe-1,1,1,0.4,1,1.0,0.8048,1.0,True,True
scenario_00125,pipe-1,1,1,0.4,1,1.0,0.6832,1.0,True,True
scenario_00126,pipe-1,1,1,0.4,1,1.0,0.6374,1.0,True,True
scenario_00127,pipe-1,1,1,0.4,1,1.0,0.6923,1.0,True,True
scenario_00128,pipe-1,1,1,0.4,1,1.0,0.8455,1.0,True,True
scenario_00129,pipe-1,1,1,0.4,1,1.0,0.6821,1.0,True,True
scenario_00130,pipe-1,1,1,0.4,1,1.0,0.6586,1.0,True,True
scenario_00131,pipe-1,1,1,0.4,1,1.0,0.6961,1.0,True,True
scenario_00132,pipe-1,1,1,0.4,1,1.0,0.7471,1.0,True,True
scenario_00133,pipe-1,1,1,0.4,1,1.0,0.6724,1.0,True,True
scenario_00134,pipe-1,1,1,0.4,1,1.0,0.5174,1.0,True,True
scenario_00135,pipe-1,1,1,0.6,1,1.0,0.5579,0.9999,True,True
scenario_00136,pipe-1,1,1,0.6,1,3.0,0.7644,1.0,True,False
scenario_00137,pipe-1,1,1,0.6,1,5.0,0.3704,1.0,True,False
scenario_00138,pipe-1,1,1,0.6,1,1.0,0.5591,1.0,True,True
scenario_00139,pipe-1,1,1,0.6,1,1.0,0.7734,0.9995,True,True
scenario_00140,pipe-1,1,1,0.6,1,1.0,0.5751,1.0,True,True
scenario_00141,pipe-1,1,1,0.6,1,1.0,0.7906,1.0,True,True
scenario_00142,pipe-1,1,1,0.6,1,1.0,0.667,1.0,True,True
scenario_00143,pipe-1,1,1,0.6,1,1.0,0.7544,1.0,True,True
scenario_00144,pipe-1,1,1,0.6,1,1.0,0.5342,1.0,True,True
scenario_00145,pipe-1,1,1,0.6,1,1.0,0.7938,1.0,True,True
scenario_00146,pipe-1,1,1,0.6,1,2.0,0.6253,1.0,True,False
scenario_00147,pipe-1,1,1,0.6,1,1.0,0.7775,1.0,True,True
scenario_00149,pipe-1,1,1,0.6,1,1.0,0.5759,1.0,True,True
scenario_00148,pipe-1,1,1,0.6,1,1.0,0.5839,1.0,True,True
scenario_00150,pipe-1,1,1,0.6,1,1.0,0.8262,1.0,True,True
scenario_00151,pipe-1,1,1,0.6,1,1.0,0.434,1.0,True,True
scenario_00152,pipe-1,1,1,0.6,1,1.0,0.7399,1.0,True,True
scenario_00153,pipe-1,1,1,0.6,1,1.0,0.754,1.0,True,True
scenario_00156,pipe-1,1,1,0.6,1,1.0,0.8037,1.0,True,True
scenario_00154,pipe-1,1,1,0.6,1,1.0,0.6219,1.0,True,True
scenario_00155,pipe-1,1,1,0.6,1,1.0,0.7433,1.0,True,True
scenario_00157,pipe-1,1,1,0.6,1,1.0,0.7403,1.0,True,True
scenario_00158,pipe-1,1,1,0.6,1,1.0,0.5908,1.0,True,True
scenario_00159,pipe-1,1,1,0.6,1,1.0,0.7519,1.0,True,True
scenario_00161,pipe-1,1,1,0.6,1,1.0,0.7404,1.0,True,True
scenario_00160,pipe-1,1,1,0.6,1,1.0,0.7006,1.0,True,True
scenario_00162,pipe-1,1,1,0.6,1,1.0,0.5352,1.0,True,True
scenario_00163,pipe-1,1,1,0.6,1,1.0,0.6399,1.0,True,True
scenario_00164,pipe-1,1,1,0.6,1,1.0,0.8607,1.0,True,True
scenario_00165,pipe-1,1,1,0.6,1,1.0,0.602,1.0,True,True
scenario_00166,pipe-1,1,1,0.6,1,1.0,0.8293,1.0,True,True
scenario_00167,pipe-1,1,1,0.6,1,1.0,0.7557,1.0,True,True
scenario_00168,pipe-1,1,1,0.6,1,1.0,0.706,1.0,True,True
scenario_00169,pipe-1,1,1,0.6,1,1.0,0.7605,1.0,True,True
scenario_00170,pipe-1,1,1,0.6,1,1.0,0.8773,1.0,True,True
scenario_00171,pipe-1,1,1,0.6,1,1.0,0.7429,1.0,True,True
scenario_00173,pipe-1,1,1,0.6,1,1.0,0.7627,1.0,True,True
scenario_00172,pipe-1,1,1,0.6,1,1.0,0.7436,1.0,True,True
scenario_00174,pipe-1,1,1,0.6,1,1.0,0.7564,1.0,True,True
scenario_00175,pipe-1,1,1,0.6,1,1.0,0.7481,1.0,True,True
scenario_00176,pipe-1,1,1,0.6,1,1.0,0.6167,1.0,True,True
scenario_00177,pipe-1,1,1,0.8,1,1.0,0.5622,1.0,True,True
scenario_00179,pipe-1,1,1,0.8,1,5.0,0.3683,1.0,True,False
scenario_00180,pipe-1,1,1,0.8,1,1.0,0.5698,1.0,True,True
scenario_00178,pipe-1,1,1,0.8,1,3.0,0.7687,1.0,True,False
scenario_00181,pipe-1,1,1,0.8,1,1.0,0.7932,0.9996,True,True
scenario_00182,pipe-1,1,1,0.8,1,1.0,0.5872,1.0,True,True
scenario_00183,pipe-1,1,1,0.8,1,1.0,0.8069,1.0,True,True
scenario_00184,pipe-1,1,1,0.8,1,1.0,0.6845,1.0,True,True
scenario_00185,pipe-1,1,1,0.8,1,1.0,0.7739,1.0,True,True
scenario_00186,pipe-1,1,1,0.8,1,1.0,0.541,1.0,True,True
scenario_00187,pipe-1,1,1,0.8,1,1.0,0.8113,1.0,True,True
scenario_00188,pipe-1,1,1,0.8,1,2.0,0.6268,1.0,True,False
scenario_00189,pipe-1,1,1,0.8,1,1.0,0.7947,1.0,True,True
scenario_00190,pipe-1,1,1,0.8,1,1.0,0.5873,1.0,True,True
scenario_00191,pipe-1,1,1,0.8,1,1.0,0.6282,1.0,True,True
scenario_00192,pipe-1,1,1,0.8,1,1.0,0.826,1.0,True,True
scenario_00193,pipe-1,1,1,0.8,1,1.0,0.4309,1.0,True,True
scenario_00194,pipe-1,1,1,0.8,1,1.0,0.7576,1.0,True,True
scenario_00195,pipe-1,1,1,0.8,1,1.0,0.7897,1.0,True,True
scenario_00196,pipe-1,1,1,0.8,1,1.0,0.6576,1.0,True,True
scenario_00198,pipe-1,1,1,0.8,1,1.0,0.8256,1.0,True,True
scenario_00197,pipe-1,1,1,0.8,1,1.0,0.7825,1.0,True,True
scenario_00199,pipe-1,1,1,0.8,1,1.0,0.7742,1.0,True,True
scenario_00200,pipe-1,1,1,0.8,1,1.0,0.6801,1.0,True,True
scenario_00201,pipe-1,1,1,0.8,1,1.0,0.7844,1.0,True,True
scenario_00202,pipe-1,1,1,0.8,1,1.0,0.7069,1.0,True,True
scenario_00203,pipe-1,1,1,0.8,1,1.0,0.7807,1.0,True,True
scenario_00204,pipe-1,1,1,0.8,1,1.0,0.5808,1.0,True,True
scenario_00205,pipe-1,1,1,0.8,1,1.0,0.7092,1.0,True,True
scenario_00206,pipe-1,1,1,0.8,1,1.0,0.8595,1.0,True,True
scenario_00207,pipe-1,1,1,0.8,1,1.0,0.6383,1.0,True,True
scenario_00208,pipe-1,1,1,0.8,1,1.0,0.8391,1.0,True,True
scenario_00209,pipe-1,1,1,0.8,1,1.0,0.7975,1.0,True,True
scenario_00210,pipe-1,1,1,0.8,1,1.0,0.7522,1.0,True,True
scenario_00211,pipe-1,1,1,0.8,1,1.0,0.7999,1.0,True,True
scenario_00212,pipe-1,1,1,0.8,1,1.0,0.8935,1.0,True,True
scenario_00213,pipe-1,1,1,0.8,1,1.0,0.7835,1.0,True,True
scenario_00214,pipe-1,1,1,0.8,1,1.0,0.8016,1.0,True,True
scenario_00215,pipe-1,1,1,0.8,1,1.0,0.801,1.0,True,True
scenario_00216,pipe-1,1,1,0.8,1,1.0,0.7644,1.0,True,True
scenario_00217,pipe-1,1,1,0.8,1,1.0,0.7947,1.0,True,True
scenario_00218,pipe-1,1,1,0.8,1,1.0,0.6939,1.0,True,True
scenario_00219,pipe-2,1,2,0.2,1,1.0,0.5865,1.0,True,False
scenario_00221,pipe-2,1,2,0.2,1,5.0,0.3857,1.0,True,False
scenario_00220,pipe-2,1,2,0.2,1,2.0,0.7827,1.0,True,True
scenario_00222,pipe-2,1,2,0.2,1,1.0,0.6406,1.0,True,False
scenario_00223,pipe-2,1,2,0.2,1,1.0,0.8628,1.0,True,False
scenario_00224,pipe-2,1,2,0.2,1,1.0,0.6428,1.0,True,False
scenario_00225,pipe-2,1,2,0.2,1,1.0,0.8614,1.0,True,False
scenario_00226,pipe-2,1,2,0.2,1,1.0,0.7487,1.0,True,False
scenario_00227,pipe-2,1,2,0.2,1,1.0,0.8285,1.0,True,False
scenario_00228,pipe-2,1,2,0.2,1,1.0,0.5659,1.0,True,False
scenario_00229,pipe-2,1,2,0.2,1,1.0,0.8672,1.0,True,False
scenario_00230,pipe-2,1,2,0.2,1,2.0,0.621,1.0,True,True
scenario_00231,pipe-2,1,2,0.2,1,1.0,0.854,1.0,True,False
scenario_00232,pipe-2,1,2,0.2,1,1.0,0.6075,1.0,True,False
scenario_00233,pipe-2,1,2,0.2,1,1.0,0.7554,1.0,True,False
scenario_00234,pipe-2,1,2,0.2,1,2.0,0.8088,1.0,True,True
scenario_00235,pipe-2,1,2,0.2,1,5.0,0.4479,1.0,True,False
scenario_00236,pipe-2,1,2,0.2,1,1.0,0.7905,1.0,True,False
scenario_00237,pipe-2,1,2,0.2,1,1.0,0.8707,1.0,True,False
scenario_00238,pipe-2,1,2,0.2,1,1.0,0.7554,1.0,True,False
scenario_00239,pipe-2,1,2,0.2,1,1.0,0.8592,1.0,True,False
scenario_00240,pipe-2,1,2,0.2,1,1.0,0.8673,1.0,True,False
scenario_00241,pipe-2,1,2,0.2,1,1.0,0.8461,1.0,True,False
scenario_00242,pipe-2,1,2,0.2,1,1.0,0.813,1.0,True,False
scenario_00243,pipe-2,1,2,0.2,1,1.0,0.8609,1.0,True,False
scenario_00244,pipe-2,1,2,0.2,1,2.0,0.6955,1.0,True,True
scenario_00245,pipe-2,1,2,0.2,1,1.0,0.8618,1.0,True,False
scenario_00246,pipe-2,1,2,0.2,1,1.0,0.7228,1.0,True,False
scenario_00247,pipe-2,1,2,0.2,1,1.0,0.8553,1.0,True,False
scenario_00248,pipe-2,1,2,0.2,1,2.0,0.8138,1.0,True,True
scenario_00249,pipe-2,1,2,0.2,1,1.0,0.6733,1.0,True,False
scenario_00250,pipe-2,1,2,0.2,1,2.0,0.8198,1.0,True,True
scenario_00251,pipe-2,1,2,0.2,1,1.0,0.8906,1.0,True,False
scenario_00252,pipe-2,1,2,0.2,1,2.0,0.8369,1.0,True,True
scenario_00253,pipe-2,1,2,0.2,1,1.0,0.8874,1.0,True,False
scenario_00254,pipe-2,1,2,0.2,1,1.0,0.8953,1.0,True,False
scenario_00255,pipe-2,1,2,0.2,1,1.0,0.8906,1.0,True,False
scenario_00256,pipe-2,1,2,0.2,1,1.0,0.8856,1.0,True,False
scenario_00257,pipe-2,1,2,0.2,1,1.0,0.8897,1.0,True,False
scenario_00258,pipe-2,1,2,0.2,1,2.0,0.7261,1.0,True,True
scenario_00259,pipe-2,1,2,0.2,1,1.0,0.8854,1.0,True,False
scenario_00260,pipe-2,1,2,0.2,1,1.0,0.8325,1.0,True,False
scenario_00261,pipe-2,1,2,0.4,1,1.0,0.5813,1.0,True,False
scenario_00262,pipe-2,1,2,0.4,1,2.0,0.7824,1.0,True,True
scenario_00263,pipe-2,1,2,0.4,1,5.0,0.4075,1.0,True,False
scenario_00264,pipe-2,1,2,0.4,1,1.0,0.6761,1.0,True,False
scenario_00265,pipe-2,1,2,0.4,1,2.0,0.8841,1.0,True,True
scenario_00266,pipe-2,1,2,0.4,1,1.0,0.6839,1.0,True,False
scenario_00267,pipe-2,1,2,0.4,1,2.0,0.8733,1.0,True,True
scenario_00268,pipe-2,1,2,0.4,1,1.0,0.7825,1.0,True,False
scenario_00269,pipe-2,1,2,0.4,1,2.0,0.839,1.0,True,True
scenario_00270,pipe-2,1,2,0.4,1,1.0,0.5931,1.0,True,False
scenario_00271,pipe-2,1,2,0.4,1,2.0,0.8784,1.0,True,True
scenario_00272,pipe-2,1,2,0.4,1,2.0,0.6115,1.0,True,True
scenario_00273,pipe-2,1,2,0.4,1,1.0,0.8719,1.0,True,False
scenario_00274,pipe-2,1,2,0.4,1,1.0,0.6046,1.0,True,False
scenario_00275,pipe-2,1,2,0.4,1,1.0,0.8073,1.0,True,False
scenario_00276,pipe-2,1,2,0.4,1,2.0,0.7905,1.0,True,True
scenario_00277,pipe-2,1,2,0.4,1,3.0,0.4907,1.0,True,False
scenario_00278,pipe-2,1,2,0.4,1,2.0,0.781,1.0,True,True
scenario_00279,pipe-2,1,2,0.4,1,1.0,0.8862,1.0,True,False
scenario_00280,pipe-2,1,2,0.4,1,2.0,0.7938,1.0,True,True
scenario_00281,pipe-2,1,2,0.4,1,1.0,0.8768,1.0,True,False
scenario_00282,pipe-2,1,2,0.4,1,1.0,0.8663,1.0,True,False
scenario_00283,pipe-2,1,2,0.4,1,1.0,0.8768,1.0,True,False
scenario_00284,pipe-2,1,2,0.4,1,1.0,0.8465,1.0,True,False
scenario_00285,pipe-2,1,2,0.4,1,1.0,0.8788,1.0,True,False
scenario_00286,pipe-2,1,2,0.4,1,2.0,0.6578,1.0,True,True
scenario_00287,pipe-2,1,2,0.4,1,1.0,0.8802,1.0,True,False
scenario_00288,pipe-2,1,2,0.4,1,1.0,0.7687,1.0,True,False
scenario_00289,pipe-2,1,2,0.4,1,2.0,0.891,1.0,True,True
scenario_00290,pipe-2,1,2,0.4,1,2.0,0.7996,1.0,True,True
scenario_00293,pipe-2,1,2,0.4,1,2.0,0.9016,1.0,True,True
scenario_00291,pipe-2,1,2,0.4,1,2.0,0.6583,1.0,True,True
scenario_00292,pipe-2,1,2,0.4,1,2.0,0.7938,1.0,True,True
scenario_00294,pipe-2,1,2,0.4,1,2.0,0.8275,1.0,True,True
scenario_00295,pipe-2,1,2,0.4,1,2.0,0.9013,1.0,True,True
scenario_00296,pipe-2,1,2,0.4,1,2.0,0.8682,1.0,True,True
scenario_00298,pipe-2,1,2,0.4,1,2.0,0.8741,1.0,True,True
scenario_00299,pipe-2,1,2,0.4,1,2.0,0.9016,1.0,True,True
scenario_00297,pipe-2,1,2,0.4,1,2.0,0.9052,1.0,True,True
scenario_00300,pipe-2,1,2,0.4,1,2.0,0.6708,1.0,True,True
scenario_00301,pipe-2,1,2,0.4,1,2.0,0.8976,1.0,True,True
scenario_00302,pipe-2,1,2,0.4,1,2.0,0.8219,1.0,True,True
scenario_00304,pipe-2,1,2,0.6,1,2.0,0.7825,1.0,True,True
scenario_00303,pipe-2,1,2,0.6,1,2.0,0.5673,1.0,True,True
scenario_00305,pipe-2,1,2,0.6,1,5.0,0.4316,1.0,True,False
scenario_00306,pipe-2,1,2,0.6,1,1.0,0.7013,1.0,True,False
scenario_00307,pipe-2,1,2,0.6,1,2.0,0.8665,1.0,True,True
scenario_00308,pipe-2,1,2,0.6,1,1.0,0.7172,1.0,True,False
scenario_00309,pipe-2,1,2,0.6,1,2.0,0.8477,1.0,True,True
scenario_00310,pipe-2,1,2,0.6,1,1.0,0.7959,1.0,True,False
scenario_00311,pipe-2,1,2,0.6,1,2.0,0.8094,1.0,True,True
scenario_00313,pipe-2,1,2,0.6,1,1.0,0.621,1.0,True,False
scenario_00312,pipe-2,1,2,0.6,1,2.0,0.6401,1.0,True,True
scenario_00314,pipe-2,1,2,0.6,1,2.0,0.605,1.0,True,True
scenario_00315,pipe-2,1,2,0.6,1,2.0,0.8574,1.0,True,True
scenario_00316,pipe-2,1,2,0.6,1,2.0,0.6145,1.0,True,True
scenario_00317,pipe-2,1,2,0.6,1,1.0,0.8379,1.0,True,False
scenario_00318,pipe-2,1,2,0.6,1,2.0,0.7841,1.0,True,True
scenario_00319,pipe-2,1,2,0.6,1,2.0,0.5282,1.0,True,True
scenario_00320,pipe-2,1,2,0.6,1,2.0,0.7631,1.0,True,True
scenario_00321,pipe-2,1,2,0.6,1,2.0,0.9022,1.0,True,True
scenario_00322,pipe-2,1,2,0.6,1,2.0,0.8012,1.0,True,True
scenario_00323,pipe-2,1,2,0.6,1,2.0,0.8947,1.0,True,True
scenario_00324,pipe-2,1,2,0.6,1,2.0,0.8474,1.0,True,True
scenario_00325,pipe-2,1,2,0.6,1,2.0,0.9051,1.0,True,True
scenario_00326,pipe-2,1,2,0.6,1,2.0,0.8595,1.0,True,True
scenario_00328,pipe-2,1,2,0.6,1,2.0,0.632,1.0,True,True
scenario_00327,pipe-2,1,2,0.6,1,2.0,0.8971,1.0,True,True
scenario_00329,pipe-2,1,2,0.6,1,2.0,0.8947,1.0,True,True
scenario_00330,pipe-2,1,2,0.6,1,2.0,0.7722,1.0,True,True
scenario_00331,pipe-2,1,2,0.6,1,2.0,0.8633,1.0,True,True
scenario_00332,pipe-2,1,2,0.6,1,2.0,0.7939,1.0,True,True
scenario_00333,pipe-2,1,2,0.6,1,2.0,0.6685,1.0,True,True
scenario_00334,pipe-2,1,2,0.6,1,2.0,0.7882,1.0,True,True
scenario_00335,pipe-2,1,2,0.6,1,2.0,0.8724,1.0,True,True
scenario_00336,pipe-2,1,2,0.6,1,2.0,0.8058,1.0,True,True
scenario_00337,pipe-2,1,2,0.6,1,2.0,0.8735,1.0,True,True
scenario_00338,pipe-2,1,2,0.6,1,2.0,0.8469,1.0,True,True
scenario_00340,pipe-2,1,2,0.6,1,2.0,0.8391,1.0,True,True
scenario_00339,pipe-2,1,2,0.6,1,2.0,0.8682,1.0,True,True
scenario_00341,pipe-2,1,2,0.6,1,2.0,0.856,1.0,True,True
scenario_00342,pipe-2,1,2,0.6,1,2.0,0.6544,1.0,True,True
scenario_00343,pipe-2,1,2,0.6,1,2.0,0.8727,1.0,True,True
scenario_00344,pipe-2,1,2,0.6,1,2.0,0.7977,1.0,True,True
scenario_00345,pipe-2,1,2,0.8,1,2.0,0.5501,1.0,True,True
scenario_00346,pipe-2,1,2,0.8,1,2.0,0.7836,1.0,True,True
scenario_00347,pipe-2,1,2,0.8,1,3.0,0.4527,1.0,True,False
scenario_00348,pipe-2,1,2,0.8,1,2.0,0.7119,1.0,True,True
scenario_00349,pipe-2,1,2,0.8,1,2.0,0.8288,1.0,True,True
scenario_00350,pipe-2,1,2,0.8,1,1.0,0.7424,1.0,True,False
scenario_00351,pipe-2,1,2,0.8,1,2.0,0.8034,1.0,True,True
